Date,Cashflow
01/01/2020,0
02/01/2020,0
03/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,318
20/01/2020,632
21/01/2020,632
22/01/2020,632
23/01/2020,632
24/01/2020,632
27/01/2020,632
28/01/2020,632
29/01/2020,632
30/01/2020,632
31/01/2020,632
